fox lion wolf bear you duck tiger camel dog donky
book desk room bag pen paper pencil chair table chalk
mop iron rag broom wax brush floor house soap water
apple orange lemon lime pear grapes melon mango peach kiwi
white brown indigo beige teal black gold maroon green blue
kangaroo dolphin zebra rabbit giraffe lamb goose chicken shark lizard
teacher ruler board marker crayon eraser office flag clock
detergent laundry duster sweeper bleach sponge pail towel vacuum dryer
mandarin plum pomelo fig cranberry date avocado pineapple olives lychee
fuchsia apricot magenta navy lavender aqua gold lime cream chocolate
cobra jellyfish dinosaur tadpole dragonfly newt leech hamster golfish housefly
dismissal schedule stapler principal hallway computer calculator watercolor recess teacher
washer ammonia hanger clothes sink dustpan starch trashcan trolley freshener
dragonfruit apricot quince pomegranate tangerine cantaloupe citrus noni soursop kaimito
cyan olive turquoise ivory mistyrose aquamarine honey silver amethyst tomato
